"Year" "Rain" "Month" "SOI" "Phase"
1905 0 7 -19.8 1
1906 20.8 7 6.3 4
1907 12 7 -5.1 5
1908 NA 7 -3.2 5
1909 NA 7 9.9 2
1910 NA 7 19 2
1911 NA 7 -11.9 1
1912 34.3 7 -0.4 4
1913 0 7 -1.6 5
1914 0 7 -9.5 1
1915 16.8 7 23.7 2
1916 57.2 7 23.8 4
1917 1.8 7 26.3 2
1918 14.5 7 -13.1 3
1919 0 7 -8.2 1
1920 137.1 7 8.7 2
1921 20.3 7 2.7 2
1922 0 7 2 5
1923 0 7 -10.7 3
1924 11.9 7 6.9 2
1925 0 7 -12.5 3
1926 0 7 -1 4
1927 0 7 0.6 5
1928 2.8 7 -0.4 4
1929 0 7 1.4 5
1930 7.6 7 -4 5
1931 19.1 7 8.7 2
1932 10.2 7 1.1 5
1933 NA 7 3.3 4
1934 25.1 7 2.7 2
1935 19.8 7 -0.4 5
1936 0 7 3.9 4
1937 0 7 -5.2 3
1938 7.1 7 17.2 2
1939 19.8 7 7.5 4
1940 0 7 -14.3 1
1941 0 7 -19.1 1
1942 0 7 -1 5
1943 4.6 7 2.7 4
1944 22.6 7 -8.2 5
1945 29.4 7 3.3 2
1946 0 7 -9.5 1
1947 0 7 8.7 4
1948 0.5 7 0.8 4
1949 0 7 -1.6 4
1950 49.5 7 19.6 2
1951 0 7 -12.5 3
1952 23.9 7 4.5 2
1953 4.6 7 -1 5
1954 3 7 3.3 4
1955 34 7 16.6 2
1956 63.3 7 11.1 2
1957 0 7 1.4 5
1958 0 7 3.3 5
1959 0 7 -4 5
1960 32 7 4.5 4
1961 16 7 -0.4 5
1962 15.5 7 -0.4 5
1963 0 7 -2.2 4
1964 6.1 7 5.1 2
1965 2.5 7 -21 3
1966 20.6 7 -0.4 5
1967 0 7 0.8 5
1968 50 7 6.3 2
1969 8.4 7 -6.4 5
1970 0 7 -5.2 3
1971 14.8 7 1.4 5
1972 0 7 -17.3 1
1973 24.1 7 5.7 2
1974 0 7 11.1 4
1975 25 7 19.6 2
1976 4.1 7 -11.9 3
1977 0 7 -13.7 1
1978 36.2 7 5.1 5
1979 0 7 13.6 4
1980 12 7 -1.6 5
1981 55 7 8.1 2
1982 0 7 -17.9 1
1983 0 7 -7 5
1984 78 7 0.8 4
1985 13 7 -2.2 4
1986 98 7 2 2
1987 0 7 -17.3 1
1988 7 7 10.5 4
1989 11 7 8.5 2
1990 25 7 5.2 5
1991 2 7 -1.5 5
1992 8 7 -6.5 1
1993 26 7 -10.1 1
1994 1.2 7 -16.7 1
1995 2 7 4 4
1996 49 7 6.6 2
1997 6 7 -9 1
1998 26 7 12.8 2
1999 0 7 4.4 4
2000 4 7 -4 5
2001 0 7 -3.3 5
2002 0 7 -7.1 5
2003 26 7 3.2 4
2004 2 7 -6.4 1
2005 0 7 1.6 5
2006 59 7 -8.6 5
2007 0 7 -4.8 3
2008 0 7 2.3 5
2009 0 7 2.1 5
2010 99 7 18.7 4
2011 42 7 9.1 4
2012 39 7 0.1 4
2013 19 7 7.4 2
2014 0 7 -4 5
2015 6 7 -13.83 1
2016 19 7 3.7 5
2017 0 7 6.51 4
2018 12 7 1.79 4
2019 0 7 -5.86 1
2020 4 7 4.25 4
2021 NA 7 16.26 4
2022 NA 7 7.63 2
2023 NA 7 -3.32 5
2024 NA 7 -5.83 5
